ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13202023,JG413619,09/06/2023 01:26:00 PM,051XX S CARPENTER ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,ALLEY,false,false,0934,009,20,61,15,1170186,1870718,2023,09/29/2023 03:41:29 PM,41.800740861,-87.651399312,"(41.800740861, -87.651399312)"
13201879,JG413767,09/06/2023 03:30:00 PM,068XX N KEDZIE AVE,0560,ASSAULT,SIMPLE,RESIDENCE - PORCH / HALLWAY,false,false,2411,024,50,2,08A,1153849,1945170,2023,09/14/2023 03:43:09 PM,42.005384054,-87.709326751,"(42.005384054, -87.709326751)"
13202084,JG413830,09/06/2023 03:33:00 PM,041XX S PULASKI RD,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,0815,008,14,57,06,1150366,1876794,2023,09/14/2023 03:43:09 PM,41.817822779,-87.72392842,"(41.817822779, -87.72392842)"
13208403,JG421644,06/05/2023 12:00:00 PM,014XX W MORSE AVE,0810,THEFT,OVER $500,BAR OR TAVERN,false,false,2431,024,49,1,06,1165450,1946172,2023,09/14/2023 03:41:59 PM,42.007893607,-87.66661712,"(42.007893607, -87.66661712)"
13201634,JG413241,09/06/2023 09:11:00 AM,018XX W JACKSON BLVD,0560,ASSAULT,SIMPLE,APARTMENT,false,false,1225,012,27,28,08A,1164248,1898656,2023,09/14/2023 03:43:09 PM,41.877532811,-87.672387519,"(41.877532811, -87.672387519)"
13202292,JG412948,09/06/2023 12:40:00 AM,082XX S WOLCOTT AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0614,006,17,71,14,1165120,1850031,2023,09/14/2023 03:43:09 PM,41.744081763,-87.670562675,"(41.744081763, -87.670562675)"
13201489,JG413332,09/06/2023 06:00:00 AM,008XX N MILWAUKEE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1213,012,27,24,08B,1168439,1905831,2023,09/14/2023 03:43:09 PM,41.897131925,-87.656791646,"(41.897131925, -87.656791646)"
13201635,JG413284,09/06/2023 09:41:00 AM,127XX S HALSTED ST,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,false,false,0523,005,9,53,04A,1173313,1820528,2023,09/14/2023 03:43:09 PM,41.662944028,-87.641411276,"(41.662944028, -87.641411276)"
13208271,JG421271,09/06/2023 05:00:00 PM,037XX N KIMBALL AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE - GARAGE,false,false,1733,017,33,16,11,1153053,1924850,2023,09/14/2023 03:43:09 PM,41.949640684,-87.712796874,"(41.949640684, -87.712796874)"
13202316,JG414343,09/06/2023 04:00:00 PM,011XX S ST LOUIS AVE,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",ALLEY,false,true,1133,011,24,29,04B,1153217,1894682,2023,09/14/2023 03:43:09 PM,41.866853689,-87.712996017,"(41.866853689, -87.712996017)"
